bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,L,5.0,,,,,0,,0.0,0.0,,,,,,4.05311584473e-06
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,1.40470385551
0.0,,,1,,0.0,,K,7.0,,,,,0,,0.0,0.0,,,,,,2.8009018898
0.0,,,1,,0.0,,S,8.0,,,,,0,,0.0,0.0,,,,,,4.20187902451
0.0,,,1,,0.0,,G,9.0,,,,,0,,0.0,0.0,,,,,,5.60145282745
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,7.00329399109
0.0,,,1,,0.0,,T,11.0,,,,,0,,0.0,0.0,,,,,,8.40357899666
0.0,,,1,,0.0,,Q,12.0,,,,,0,,0.0,0.0,,,,,,9.80418086052
0.0,,,1,,0.0,,Z,13.0,,,,,0,,0.0,0.0,,,,,,11.2004098892
0.0,,,1,,0.0,,F,14.0,,,,,0,,0.0,0.0,,,,,,12.6004190445
0.0,,,1,,0.0,,R,0.0,,,,,0,,0.0,0.0,,,,,,14.0013208389
0.0,,,1,,0.0,,P,1.0,,,,,0,,0.0,0.0,,,,,,15.4020359516
0.0,,,1,,0.0,,V,2.0,,,,,0,,0.0,0.0,,,,,,16.802891016
0.0,,,1,,0.0,,N,3.0,,,,,0,,0.0,0.0,,,,,,18.2030830383
0.0,,,1,,0.0,,X,4.0,,,,,0,,0.0,0.0,,,,,,19.6041970253
0.0,,,1,,0.0,,L,5.0,,,,,0,,0.0,0.0,,,,,,21.0000619888
0.0,,,1,,0.0,,D,6.0,,,,,0,,0.0,0.0,,,,,,22.4033439159
0.0,,,1,,0.0,,K,7.0,,,,,0,,0.0,0.0,,,,,,23.8050088882
0.0,,,1,,0.0,,S,8.0,,,,,0,,0.0,0.0,,,,,,25.2005259991
