bin,binColor,binType,block,correctResponse,jump,leftProbe,letter,letterIndex,maximumStepsToProbe,minimumStepsToProbe,participantCorrect,participantResponse,probe,probeType,reactionTime,rewardEarned,rightProbe,stepsToLeftProbe,stepsToLure,stepsToRightProbe,stepsToTarget,stimulusTime
0.0,,,1,,0.0,,M,7.0,,,,,0,,0.0,0.0,,,,,,2.86102294922e-06
0.0,,,1,,0.0,,G,8.0,,,,,0,,0.0,0.0,,,,,,1.40415883064
0.0,,,1,,0.0,,Z,9.0,,,,,0,,0.0,0.0,,,,,,2.80467486382
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,4.20499491692
0.0,,,1,,0.0,,S,11.0,,,,,0,,0.0,0.0,,,,,,5.60049390793
0.0,,,1,,0.0,,D,12.0,,,,,0,,0.0,0.0,,,,,,7.00181698799
0.0,,,1,,0.0,,N,13.0,,,,,0,,0.0,0.0,,,,,,8.40245985985
0.0,,,1,,0.0,,X,14.0,,,,,0,,0.0,0.0,,,,,,9.80303382874
0.0,,,1,,0.0,,V,0.0,,,,,0,,0.0,0.0,,,,,,11.2034537792
0.0,,,1,,0.0,,Q,1.0,,,,,0,,0.0,0.0,,,,,,12.604254961
0.0,,,1,,0.0,,W,2.0,,,,,0,,0.0,0.0,,,,,,14.0006818771
0.0,,,1,,0.0,,C,3.0,,,,,0,,0.0,0.0,,,,,,15.4015789032
0.0,,,1,,0.0,,K,4.0,,,,,0,,0.0,0.0,,,,,,16.801669836
0.0,,,1,,0.0,,H,5.0,,,,,0,,0.0,0.0,,,,,,18.2025837898
0.0,,,1,,0.0,,P,6.0,,,,,0,,0.0,0.0,,,,,,19.60252285
0.0,,,1,,0.0,,M,7.0,,,,,0,,0.0,0.0,,,,,,21.0028898716
0.0,,,1,,0.0,,G,8.0,,,,,0,,0.0,0.0,,,,,,22.4041559696
0.0,,,1,,0.0,,Z,9.0,,,,,0,,0.0,0.0,,,,,,23.8047838211
0.0,,,1,,0.0,,B,10.0,,,,,0,,0.0,0.0,,,,,,25.2004139423
0.0,,,1,,0.0,,S,11.0,,,,,0,,0.0,0.0,,,,,,26.6016829014
0.0,,,1,,0.0,,D,12.0,,,,,0,,0.0,0.0,,,,,,28.0009088516
0.0,,,1,,0.0,,N,13.0,,,,,0,,0.0,0.0,,,,,,29.4017689228
